label_id	Annotated Archetype
1	1.0
2	
3	
4	
5	1.0
6	
7	1.0
8	
9	1.0
10	3.0
11	
12	
13	1.0
14	
15	
16	
17	
18	3.0
19	
20	
21	
22	2.0
23	
24	
25	3.0
26	2.0
27	
28	
29	
30	2.0
31	
32	
33	
34	
35	
36	
37	1.0
38	
39	
40	2.0
41	
42	
43	
44	
45	2.0
46	2.0
47	
48	
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
60	
61	
62	
63	1.0
64	
65	
66	
67	
68	
69	
70	
71	
72	
73	
74	
75	1.0
76	
77	
78	
79	1.0
80	
81	3.0
82	
83	3.0
84	
85	4.0
86	
87	
88	
89	
90	
91	
92	4.0
93	2.0
94	
95	
96	
97	
98	
99	
100	
101	
102	
103	
104	2.0
105	4.0
106	
107	
108	
109	
110	2.0
111	
112	
113	2.0
114	
115	
116	2.0
117	
118	
119	
